equipment_name,cleaned_name,brand_name,product_name,product_category,instrument_type,equipment_urls
Boss AW-2 Auto Wah Guitar Pedal,Boss AW-2 Auto Wah Guitar Pedal,Boss,AW-2,Wah,Guitar,/items/boss-aw-2-auto-wah-guitar-pedal
Boss AW-3 Dynamic Wah Guitar Effects Pedal,Boss AW-3 Dynamic Wah Guitar Effects Pedal,Boss,AW-3,Wah,Guitar,/items/boss-aw-3-dynamic-wah-guitar-effects-pedal
Boss Bass Overdrive,Boss ODB-3 Bass Overdrive,Boss,ODB-3,Overdrive,Bass,/items/boss-bass-overdrive
BOSS BC-1X Bass Compressor,Boss BC-1X Bass Compressor,Boss,BC-1X,Compressor,Bass,/items/boss-bc-1x-bass-compressor
Boss BC-2 Combo Drive Pedal,Boss BC-2 Combo Drive Pedal,Boss,BC-2,Overdrive,Guitar,/items/boss-bc-2-combo-drive-pedal
Boss BD-2 Blues Driver,Boss BD-2 Blues Driver,Boss,BD-2,Overdrive,Guitar,/items/boss-bd-2-blues-driver
Boss BD-2 Blues Driver Pedal with Keeley mod,Boss BD-2 Blues Driver Pedal with Keeley mod,Boss,BD-2 Keeley Mod,Overdrive,Guitar,/items/boss-bd-2-blues-driver-pedal-with-keeley-mod
Boss BD-2W Blues Driver Waza Craft,Boss BD-2W Blues Driver Waza Craft,Boss,BD-2W,Overdrive,Guitar,/items/boss-bd-2w-blues-driver-waza-craft
Boss BF-1,Boss BF-1 Flanger,Boss,BF-1,Flanger,Guitar,/items/boss-bf-1
Boss BF-2 Flanger,Boss BF-2 Flanger,Boss,BF-2,Flanger,Guitar,/items/boss-bf-2-flanger
Boss BF-2B Bass Flanger Guitar Pedal,Boss BF-2B Bass Flanger Guitar Pedal,Boss,BF-2B,Flanger,Bass,/items/boss-bf-2b-bass-flanger-guitar-pedal
Boss BF-3 Flanger Pedal,Boss BF-3 Flanger Pedal,Boss,BF-3,Flanger,Guitar,/items/boss-bf-3-flanger-pedal
Boss CE-1 Chorus Ensemble Pedal,Boss CE-1 Chorus Ensemble Pedal,Boss,CE-1,Chorus,Guitar,/items/boss-ce-1-chorus-ensemble-pedal--2
Boss CE-2 Chorus Guitar Effect Pedal,Boss CE-2 Chorus Guitar Effect Pedal,Boss,CE-2,Chorus,Guitar,/items/boss-ce-2-chorus-guitar-effect-pedal
Boss CE-20 Chorus Ensemble Pedal,Boss CE-20 Chorus Ensemble Pedal,Boss,CE-20,Chorus,Guitar,/items/boss-ce-20-chorus-ensemble-pedal
BOSS CE-2W Chorus,Boss CE-2W Chorus,Boss,CE-2W,Chorus,Guitar,/items/boss-ce-2w-chorus
Boss CE-3 Chorus,Boss CE-3 Chorus,Boss,CE-3,Chorus,Guitar,/items/boss-ce-3-chorus
Boss CE-5 Chorus Ensemble,Boss CE-5 Chorus Ensemble,Boss,CE-5,Chorus,Guitar,/items/boss-ce-5-chorus-ensemble
Boss CEB-3 Bass Chorus Effects Pedal,Boss CEB-3 Bass Chorus Effects Pedal,Boss,CEB-3,Chorus,Bass,/items/boss-ceb-3-bass-chorus-effects-pedal
Boss CH-1 SUPER Chorus Pedal,Boss CH-1 SUPER Chorus Pedal,Boss,CH-1,Chorus,Guitar,/items/boss-ch-1-super-chorus-pedal
Boss CS-1 Compression Sustainer Pedal,Boss CS-1 Compression Sustainer Pedal,Boss,CS-1,Compressor,Guitar,/items/boss-cs-1-compression-sustainer-pedal
Boss CS-2 Compressor Guitar Effect Pedal,Boss CS-2 Compressor Guitar Effect Pedal,Boss,CS-2,Compressor,Guitar,/items/boss-cs-2-compressor-guitar-effect-pedal
Boss CS-3 Compression Sustainer,Boss CS-3 Compression Sustainer,Boss,CS-3,Compressor,Guitar,/items/boss-cs-3-compression-sustainer
Boss DA-2 Adaptive Distortion Guitar Effects Pedal,Boss DA-2 Adaptive Distortion Guitar Effects Pedal,Boss,DA-2,Distortion,Guitar,/items/boss-da-2-adaptive-distortion-guitar-effects-pedal
Boss DC-2 Dimension C,Boss DC-2 Dimension C,Boss,DC-2,Chorus,Guitar,/items/boss-dc-2-dimension-c
Boss DD-2 Digital Delay Pedal,Boss DD-2 Digital Delay Pedal,Boss,DD-2,Digital Delay,Guitar,/items/boss-dd-2-digital-delay-pedal
